,Text,Text_tok,Gold_iob
20744,Exposure to radon gas may cause lung cancer.,"['Exposure', 'to', 'radon', 'gas', 'may', 'cause', 'lung', 'cancer', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O']"
1407,A virtual image appears to be on the other side of the mirror.,"['A', 'virtual', 'image', 'appears', 'to', 'be', 'on', 'the', 'other', 'side', 'of', 'the', 'mirror', '.']","['O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
6292,Heat from the burning coal boils the water in the boiler to make steam.,"['Heat', 'from', 'the', 'burning', 'coal', 'boils', 'the', 'water', 'in', 'the', 'boiler', 'to', 'make', 'steam', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']"
3247,"They are all colorless, odorless gases.","['They', 'are', 'all', 'colorless', ',', 'odorless', 'gases', '.']","['O', 'O', 'O', 'B', 'O', 'O', 'O', 'O']"
20678,The lymphatic system also plays an important role in the immune system.,"['The', 'lymphatic', 'system', 'also', 'plays', 'an', 'important', 'role', 'in', 'the', 'immune', 'system', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O']"
20632,The chemicals also attract white blood cells called neutrophils to the wound and cause them to leak out of blood vessels into the damaged tissue.,"['The', 'chemicals', 'also', 'attract', 'white', 'blood', 'cells', 'called', 'neutrophils', 'to', 'the', 'wound', 'and', 'cause', 'them', 'to', 'leak', 'out', 'of', 'blood', 'vessels', 'into', 'the', 'damaged', 'tissue', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
11367,We see this as the other galaxies moving away from us.,"['We', 'see', 'this', 'as', 'the', 'other', 'galaxies', 'moving', 'away', 'from', 'us', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O']"
14928,"When particles of matter move more quickly, they have more kinetic energy, so their temperature is higher.","['When', 'particles', 'of', 'matter', 'move', 'more', 'quickly', ',', 'they', 'have', 'more', 'kinetic', 'energy', ',', 'so', 'their', 'temperature', 'is', 'higher', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
23939,Cutting down on the use of chemical fertilizers is one way to prevent dead zones in bodies of water.,"['Cutting', 'down', 'on', 'the', 'use', 'of', 'chemical', 'fertilizers', 'is', 'one', 'way', 'to', 'prevent', 'dead', 'zones', 'in', 'bodies', 'of', 'water', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7290,"Through asexual reproduction, new organisms are produced that are genetically identical to the parent.","['Through', 'asexual', 'reproduction', ',', 'new', 'organisms', 'are', 'produced', 'that', 'are', 'genetically', 'identical', 'to', 'the', 'parent', '.']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
10688,Most annelids can reproduce both asexually and sexually.,"['Most', 'annelids', 'can', 'reproduce', 'both', 'asexually', 'and', 'sexually', '.']","['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'O']"
18536,Rocks have three possible responses to increasing stress (illustrated in Figure 1.3): elastic deformation: the rock returns to its original shape when the stress is removed.,"['Rocks', 'have', 'three', 'possible', 'responses', 'to', 'increasing', 'stress', '(', 'illustrated', 'in', 'Figure', '1.3', '):', 'elastic', 'deformation', ':', 'the', 'rock', 'returns', 'to', 'its', 'original', 'shape', 'when', 'the', 'stress', 'is', 'removed', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15858,"When animals eat the fruit, the seeds pass through an animals digestive tract unharmed.","['When', 'animals', 'eat', 'the', 'fruit', ',', 'the', 'seeds', 'pass', 'through', 'an', 'animals', 'digestive', 'tract', 'unharmed', '.']","['O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
22598,"Also, carcinogens, which are chemical that cause cancer, pathogens, which are disease-causing virus, bacteria or fungi, and teratogens, which are chemical that cause deformities in developing embryos, are extremely hazardous, and extreme care must be used when working with these items as well.","['Also', ',', 'carcinogens', ',', 'which', 'are', 'chemical', 'that', 'cause', 'cancer', ',', 'pathogens', ',', 'which', 'are', 'disease', '-', 'causing', 'virus', ',', 'bacteria', 'or', 'fungi', ',', 'and', 'teratogens', ',', 'which', 'are', 'chemical', 'that', 'cause', 'deformities', 'in', 'developing', 'embryos', ',', 'are', 'extremely', 'hazardous', ',', 'and', 'extreme', 'care', 'must', 'be', 'used', 'when', 'working', 'with', 'these', 'items', 'as', 'well', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
24358,"In continental rifting, magma rises beneath the continent, causing it to become thinner, break, and ultimately split apart.","['In', 'continental', 'rifting', ',', 'magma', 'rises', 'beneath', 'the', 'continent', ',', 'causing', 'it', 'to', 'become', 'thinner', ',', 'break', ',', 'and', 'ultimately', 'split', 'apart', '.']","['O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
22441,Other adaptations help an organism move or gather food.,"['Other', 'adaptations', 'help', 'an', 'organism', 'move', 'or', 'gather', 'food', '.']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
11406,That is mixed with some kind of matter that we havent discovered yet.,"['That', 'is', 'mixed', 'with', 'some', 'kind', 'of', 'matter', 'that', 'we', 'have', 'nt', 'discovered', 'yet', '.']","['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
4520,"Q: Nuclei contain only protons and neutrons, so how can a nucleus emit an electron in beta-minus decay or a positron in beta-plus decay?","['Q', ':', 'Nuclei', 'contain', 'only', 'protons', 'and', 'neutrons', ',', 'so', 'how', 'can', 'a', 'nucleus', 'emit', 'an', 'electron', 'in', 'beta', '-', 'minus', 'decay', 'or', 'a', 'positron', 'in', 'beta', '-', 'plus', 'decay', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12538,The vibrations spread through the air in all directions away from the guitar string as longitudinal waves.,"['The', 'vibrations', 'spread', 'through', 'the', 'air', 'in', 'all', 'directions', 'away', 'from', 'the', 'guitar', 'string', 'as', 'longitudinal', 'waves', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']"
22741,Upwelling brings those nutrients to the surface.,"['Upwelling', 'brings', 'those', 'nutrients', 'to', 'the', 'surface', '.']","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
26292,"In addition to mucus, your body releases a variety of fluids, including tears, saliva, and sweat.","['In', 'addition', 'to', 'mucus', ',', 'your', 'body', 'releases', 'a', 'variety', 'of', 'fluids', ',', 'including', 'tears', ',', 'saliva', ',', 'and', 'sweat', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O']"
20921,"The average length of the cycle (time between menstrual periods) is about 28 days, but there is no normal cycle length.","['The', 'average', 'length', 'of', 'the', 'cycle', '(', 'time', 'between', 'menstrual', 'periods', ')', 'is', 'about', '28', 'days', ',', 'but', 'there', 'is', 'no', 'normal', 'cycle', 'length', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'O']"
11339,Sea level is the same all around Earth.,"['Sea', 'level', 'is', 'the', 'same', 'all', 'around', 'Earth', '.']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O']"
16976,Turtle soup is consumed throughout the world.,"['Turtle', 'soup', 'is', 'consumed', 'throughout', 'the', 'world', '.']","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3296,Deposits from longshore drift may form a spit.,"['Deposits', 'from', 'longshore', 'drift', 'may', 'form', 'a', 'spit', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']"
17569,"Although prokaryotes have a cell membrane, they lack a cell nucleus and other organelles.","['Although', 'prokaryotes', 'have', 'a', 'cell', 'membrane', ',', 'they', 'lack', 'a', 'cell', 'nucleus', 'and', 'other', 'organelles', '.']","['O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
24131,Fatalities depend somewhat on an earthquakes size and the type of ground people inhabit.,"['Fatalities', 'depend', 'somewhat', 'on', 'an', 'earthquakes', 'size', 'and', 'the', 'type', 'of', 'ground', 'people', 'inhabit', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O']"
22427,"If you are outside, run to an open area away from buildings and power lines that may fall.","['If', 'you', 'are', 'outside', ',', 'run', 'to', 'an', 'open', 'area', 'away', 'from', 'buildings', 'and', 'power', 'lines', 'that', 'may', 'fall', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
22083,"a burning feeling when you urinate, frequent or intense urges to urinate, even when you have little urine to pass, pain in your back or side below the ribs, cloudy, dark, bloody, or foul-smelling urine, fever or chills.","['a', 'burning', 'feeling', 'when', 'you', 'urinate', ',', 'frequent', 'or', 'intense', 'urges', 'to', 'urinate', ',', 'even', 'when', 'you', 'have', 'little', 'urine', 'to', 'pass', ',', 'pain', 'in', 'your', 'back', 'or', 'side', 'below', 'the', 'ribs', ',', 'cloudy', ',', 'dark', ',', 'bloody', ',', 'or', 'foul', '-', 'smelling', 'urine', ',', 'fever', 'or', 'chills', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14638,The Resource Conservation and Recovery Act of 1976 requires that companies keep track of any hazardous materials they produce.,"['The', 'Resource', 'Conservation', 'and', 'Recovery', 'Act', 'of', '1976', 'requires', 'that', 'companies', 'keep', 'track', 'of', 'any', 'hazardous', 'materials', 'they', 'produce', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
22465,The sensory division carries messages from sense organs and internal organs to the central nervous system.,"['The', 'sensory', 'division', 'carries', 'messages', 'from', 'sense', 'organs', 'and', 'internal', 'organs', 'to', 'the', 'central', 'nervous', 'system', '.']","['B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8368,The oxygen atom has six valence electrons.,"['The', 'oxygen', 'atom', 'has', 'six', 'valence', 'electrons', '.']","['O', 'O', 'O', 'O', 'B', 'O', 'O', 'O']"
10991,A catalyst is a substance that increases the rate of a chemical reaction.,"['A', 'catalyst', 'is', 'a', 'substance', 'that', 'increases', 'the', 'rate', 'of', 'a', 'chemical', 'reaction', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
2580,A pH scale goes from 1 to 14; numbers are shown with the pH of some common substances.,"['A', 'pH', 'scale', 'goes', 'from', '1', 'to', '14', ';', 'numbers', 'are', 'shown', 'with', 'the', 'pH', 'of', 'some', 'common', 'substances', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20073,"Evidence shows that plants evolved from freshwater green algae, a protist.","['Evidence', 'shows', 'that', 'plants', 'evolved', 'from', 'freshwater', 'green', 'algae', ',', 'a', 'protist', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O']"
8928,"Irrigation, the ability to clear large swaths of land for farming efficiently, and the development of farm machines powered by fossil fuels allowed people to grow more food and transport it to where it was needed.","['Irrigation', ',', 'the', 'ability', 'to', 'clear', 'large', 'swaths', 'of', 'land', 'for', 'farming', 'efficiently', ',', 'and', 'the', 'development', 'of', 'farm', 'machines', 'powered', 'by', 'fossil', 'fuels', 'allowed', 'people', 'to', 'grow', 'more', 'food', 'and', 'transport', 'it', 'to', 'where', 'it', 'was', 'needed', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
1106,"Once it is published, other scientists incorporate the results into their own research.","['Once', 'it', 'is', 'published', ',', 'other', 'scientists', 'incorporate', 'the', 'results', 'into', 'their', 'own', 'research', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
22119,"In a surface wave, particles of the medium vibrate both up and down and back and forth, so they end up moving in a circle.","['In', 'a', 'surface', 'wave', ',', 'particles', 'of', 'the', 'medium', 'vibrate', 'both', 'up', 'and', 'down', 'and', 'back', 'and', 'forth', ',', 'so', 'they', 'end', 'up', 'moving', 'in', 'a', 'circle', '.']","['O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1176,It depends on how close the object is to the lens relative to the focus.,"['It', 'depends', 'on', 'how', 'close', 'the', 'object', 'is', 'to', 'the', 'lens', 'relative', 'to', 'the', 'focus', '.']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
15963,This is caused by power plants and factories that use the water to cool their machines.,"['This', 'is', 'caused', 'by', 'power', 'plants', 'and', 'factories', 'that', 'use', 'the', 'water', 'to', 'cool', 'their', 'machines', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O']"
26398,Air from the lungs passes across thin tissues in the larynx and produces sound.,"['Air', 'from', 'the', 'lungs', 'passes', 'across', 'thin', 'tissues', 'in', 'the', 'larynx', 'and', 'produces', 'sound', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']"
21720,It will also cause the egg to go through meiosis.,"['It', 'will', 'also', 'cause', 'the', 'egg', 'to', 'go', 'through', 'meiosis', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']"
16677,Interspecific competition happens when individuals of different species strive for a limited resource in the same area.,"['Interspecific', 'competition', 'happens', 'when', 'individuals', 'of', 'different', 'species', 'strive', 'for', 'a', 'limited', 'resource', 'in', 'the', 'same', 'area', '.']","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15216,"The digestive system is mainly one long tube from the mouth to the anus, known as the gastrointestinal tract (GI tract).","['The', 'digestive', 'system', 'is', 'mainly', 'one', 'long', 'tube', 'from', 'the', 'mouth', 'to', 'the', 'anus', ',', 'known', 'as', 'the', 'gastrointestinal', 'tract', '(', 'GI', 'tract', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O']"
16732,Aquatic biomes can be generally classified based on the amount of salt in the water.,"['Aquatic', 'biomes', 'can', 'be', 'generally', 'classified', 'based', 'on', 'the', 'amount', 'of', 'salt', 'in', 'the', 'water', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
20663,"The spleens main function is to filter the blood, removing unwanted red blood cells.","['The', 'spleens', 'main', 'function', 'is', 'to', 'filter', 'the', 'blood', ',', 'removing', 'unwanted', 'red', 'blood', 'cells', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20869,The acrosome on the head contains enzymes that help the sperm penetrate an egg.,"['The', 'acrosome', 'on', 'the', 'head', 'contains', 'enzymes', 'that', 'help', 'the', 'sperm', 'penetrate', 'an', 'egg', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15124,"The system was used to warn of possible tsunami waves after the Tohoku earthquake, but most were too close to the quake to get to high ground in time.","['The', 'system', 'was', 'used', 'to', 'warn', 'of', 'possible', 'tsunami', 'waves', 'after', 'the', 'Tohoku', 'earthquake', ',', 'but', 'most', 'were', 'too', 'close', 'to', 'the', 'quake', 'to', 'get', 'to', 'high', 'ground', 'in', 'time', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']"
18012,During the Paleozoic there were four complete cycles of marine transgressions and regressions.,"['During', 'the', 'Paleozoic', 'there', 'were', 'four', 'complete', 'cycles', 'of', 'marine', 'transgressions', 'and', 'regressions', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7317,"No- tice, when the sporangia burst, the spores are released from the fruiting body.","['No-', 'tice', ',', 'when', 'the', 'sporangia', 'burst', ',', 'the', 'spores', 'are', 'released', 'from', 'the', 'fruiting', 'body', '.']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O']"
800,"Cinder cones are composed of small fragments of rock, called cinders.","['Cinder', 'cones', 'are', 'composed', 'of', 'small', 'fragments', 'of', 'rock', ',', 'called', 'cinders', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O']"
22794,The leaves of the flowers they pollinate have special ultraviolet patterns which guide the insects deep into the flower.,"['The', 'leaves', 'of', 'the', 'flowers', 'they', 'pollinate', 'have', 'special', 'ultraviolet', 'patterns', 'which', 'guide', 'the', 'insects', 'deep', 'into', 'the', 'flower', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
25683,"The basic form consists of multiple segments, each of which has the same sets of organs and, in most, a pair of parapodia that many species use for locomotion.","['The', 'basic', 'form', 'consists', 'of', 'multiple', 'segments', ',', 'each', 'of', 'which', 'has', 'the', 'same', 'sets', 'of', 'organs', 'and', ',', 'in', 'most', ',', 'a', 'pair', 'of', 'parapodia', 'that', 'many', 'species', 'use', 'for', 'locomotion', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']"
4810,Birds and wasps build nests to have a safe place to store their eggs and raise their young.,"['Birds', 'and', 'wasps', 'build', 'nests', 'to', 'have', 'a', 'safe', 'place', 'to', 'store', 'their', 'eggs', 'and', 'raise', 'their', 'young', '.']","['O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19889,Brittle stars Echinoidea Sea urchins and sand dollars Holothuroidea Sea cucumbers Characteristics Capture prey for their own food.,"['Brittle', 'stars', 'Echinoidea', 'Sea', 'urchins', 'and', 'sand', 'dollars', 'Holothuroidea', 'Sea', 'cucumbers', 'Characteristics', 'Capture', 'prey', 'for', 'their', 'own', 'food', '.']","['B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'O']"
17308,The theory of plate tectonics is the most important theory in much of earth science.,"['The', 'theory', 'of', 'plate', 'tectonics', 'is', 'the', 'most', 'important', 'theory', 'in', 'much', 'of', 'earth', 'science', '.']","['O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
26259,"A placenta is a spongy structure that passes oxygen, nutrients, and other useful substances from the mother to the fetus.","['A', 'placenta', 'is', 'a', 'spongy', 'structure', 'that', 'passes', 'oxygen', ',', 'nutrients', ',', 'and', 'other', 'useful', 'substances', 'from', 'the', 'mother', 'to', 'the', 'fetus', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
11927,"The phospholipid is a lipid molecule with a hydrophilic (""water-loving"") head and two hydrophobic (""water-hating"") tails.","['The', 'phospholipid', 'is', 'a', 'lipid', 'molecule', 'with', 'a', 'hydrophilic', '(', '""', 'water', '-', 'loving', '""', ')', 'head', 'and', 'two', 'hydrophobic', '(', '""', 'water', '-', 'hating', '""', ')', 'tails', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
22662,The direct heat source for the stratosphere is the Sun.,"['The', 'direct', 'heat', 'source', 'for', 'the', 'stratosphere', 'is', 'the', 'Sun', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']"
17765,"For example, when clay is present in a soil, the soil is heavier, holds together more tightly, and holds water.","['For', 'example', ',', 'when', 'clay', 'is', 'present', 'in', 'a', 'soil', ',', 'the', 'soil', 'is', 'heavier', ',', 'holds', 'together', 'more', 'tightly', ',', 'and', 'holds', 'water', '.']","['O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25436,"Mechanoreceptors perceive sensations such as pressure, vibrations, and texture.","['Mechanoreceptors', 'perceive', 'sensations', 'such', 'as', 'pressure', ',', 'vibrations', ',', 'and', 'texture', '.']","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17434,Bill Gates is the wealthiest man in the United States; thats a fact.,"['Bill', 'Gates', 'is', 'the', 'wealthiest', 'man', 'in', 'the', 'United', 'States', ';', 'that', 's', 'a', 'fact', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O']"
3980,"When the ovules are fertilized, the ovule becomes the seed and the ovary becomes the fruit.","['When', 'the', 'ovules', 'are', 'fertilized', ',', 'the', 'ovule', 'becomes', 'the', 'seed', 'and', 'the', 'ovary', 'becomes', 'the', 'fruit', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7770,The last reversal was less than a million years ago.,"['The', 'last', 'reversal', 'was', 'less', 'than', 'a', 'million', 'years', 'ago', '.']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'O']"
21273,An even stronger forcecalled the strong nuclear forceholds protons and neutrons together in the nucleus.,"['An', 'even', 'stronger', 'forcecalled', 'the', 'strong', 'nuclear', 'forceholds', 'protons', 'and', 'neutrons', 'together', 'in', 'the', 'nucleus', '.']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O']"
19367,Thats what makes your ears pop when you change altitude.,"['That', 's', 'what', 'makes', 'your', 'ears', 'pop', 'when', 'you', 'change', 'altitude', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O']"
16054,Hail forms in cumulonimbus clouds with strong updrafts.,"['Hail', 'forms', 'in', 'cumulonimbus', 'clouds', 'with', 'strong', 'updrafts', '.']","['O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O']"
1093,URL:  Droughts also depend on what is normal for a region.,"['URL', ':', 'Droughts', 'also', 'depend', 'on', 'what', 'is', 'normal', 'for', 'a', 'region', '.']","['O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
13695,His microscopes could magnify objects as much as 270 times their actual size.,"['His', 'microscopes', 'could', 'magnify', 'objects', 'as', 'much', 'as', '270', 'times', 'their', 'actual', 'size', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O']"
23728,"If the air is cold, the water may freeze and fall as snow, sleet, or hail.","['If', 'the', 'air', 'is', 'cold', ',', 'the', 'water', 'may', 'freeze', 'and', 'fall', 'as', 'snow', ',', 'sleet', ',', 'or', 'hail', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O']"
7660,Earths magnetic field also has a north and south pole.,"['Earths', 'magnetic', 'field', 'also', 'has', 'a', 'north', 'and', 'south', 'pole', '.']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'O']"
8215,AM broadcasts use longer wavelength radio waves than FM broadcasts.,"['AM', 'broadcasts', 'use', 'longer', 'wavelength', 'radio', 'waves', 'than', 'FM', 'broadcasts', '.']","['O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
24511,The vibrations pass from the eardrum to the hammer (malleus).,"['The', 'vibrations', 'pass', 'from', 'the', 'eardrum', 'to', 'the', 'hammer', '(', 'malleus', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O']"
